,HeavyAtomCount,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteratoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumAliphaticHeterocycles,RingCount,MW,LogP,MR,TPSA
373,7,0,2,2,0,2,2,42,0,0,0,0,0.9595,26.923999999999985,26.3
374,11,1,1,1,1,1,3,66,0,0,1,1,2.5647,49.71370000000003,12.03
375,9,0,0,0,0,0,0,48,1,0,1,1,2.447730000000001,39.85500000000001,0.0
376,8,0,0,0,0,0,0,42,1,0,1,1,2.19402,35.384,0.0
377,16,0,0,0,0,0,0,74,4,0,4,4,3.2987400000000022,63.528000000000034,0.0
378,21,0,4,4,0,4,7,112,2,0,2,2,1.7606699999999997,85.13500000000006,28.6
379,24,1,3,3,1,3,4,126,2,0,5,5,3.5696600000000025,92.79780000000007,42.35000000000001
380,21,1,7,6,1,8,9,118,1,0,1,1,1.3595799999999996,84.95210000000004,83.91
381,17,5,9,8,4,9,3,94,1,1,2,2,-3.0662099999999994,51.28330000000002,143.72000000000003
382,13,2,3,3,1,3,3,70,1,0,1,1,1.40028,50.33790000000002,52.32
383,30,0,6,6,0,7,4,158,3,2,5,5,3.8430500000000025,109.09600000000006,64.16
384,18,0,4,3,0,4,4,100,1,0,1,1,2.2425800000000002,71.99600000000005,32.78
385,22,0,6,6,0,7,1,116,2,1,3,3,2.1205600000000002,80.94800000000004,64.43
386,20,1,4,3,1,4,4,108,1,1,3,3,1.6405699999999994,74.75970000000005,47.56
387,17,4,4,4,4,4,4,96,1,0,1,1,0.7341699999999998,65.60310000000003,72.72
388,10,2,3,2,2,3,1,52,1,0,1,1,0.5732799999999998,34.190099999999994,57.53
389,14,3,5,3,3,5,3,74,1,0,1,1,-0.31052000000000035,47.19980000000001,86.63000000000001
390,49,6,11,7,5,11,12,262,3,1,5,5,2.5545600000000013,185.47579999999948,166.75
391,22,1,5,5,1,5,4,118,1,3,4,4,0.8633899999999992,79.11680000000004,62.3
392,6,1,1,1,1,1,2,38,0,0,0,0,1.0248,26.54079999999999,20.23
393,17,2,5,3,2,5,5,94,0,1,1,1,1.3510999999999997,63.00040000000002,75.27000000000001
394,20,1,1,1,1,3,2,104,2,0,3,3,5.015470000000003,84.98370000000004,12.03
395,12,0,1,1,0,8,2,74,0,0,0,0,2.4232000000000005,22.958,9.23
396,5,3,2,2,2,3,0,30,0,0,0,0,0.24287000000000009,25.429100000000002,49.870000000000005
397,18,3,5,4,3,6,6,102,1,0,1,1,0.65418,71.91700000000003,78.42999999999999
